Month_Year,Country,email.com,email1.com,email2.com,Users
Jan-22,Australia,,,222,222
Jan-22,Austria,,,240,240
Jan-22,Bangladesh,3,,,3
Jan-22,Belarus,6,,,6
Jan-22,Belgium,,5,216,221
Jan-22,Brazil,10,,,10
Jan-22,Canada,,1,427,428
Jan-22,China,300,137,390,827
Jan-22,Croatia,1,,65,66
Jan-22,Czech Republic,67,12,301,380
Jan-22,Denmark,,1,108,109
Jan-22,Finland,,5,148,153
Jan-22,France,1,16,380,397
Jan-22,Germany,92,17,2247,2356
Jan-22,Great Britain,1,26,566,593
Jan-22,Hungary,,,170,170
Jan-22,India,53,19,146,218
Jan-22,Indonesia,14,,,14
Jan-22,Ireland,,7,12,19
Jan-22,Italy,58,9,224,291
Jan-22,Japan,,2,206,208
Jan-22,Lithuania,17,,,17
Jan-22,Malaysia,31,,,31
Jan-22,Mexico,6,,,6
Jan-22,Netherlands,4,19,162,185
Jan-22,Norway,,1,141,142
Jan-22,Pakistan,2,,,2
Jan-22,Poland,141,28,305,474
Jan-22,Portugal,,7,50,57
Jan-22,Romania,48,28,158,234
Jan-22,Russian Federation,46,394,349,789
Jan-22,Saudi Arabia,1,,,1
Jan-22,Serbia,2,,131,133
Jan-22,Slovak Republic,153,7,35,195
Jan-22,Slovenia,,,36,36
Jan-22,South Korea,,,222,222
Jan-22,Spain,,28,360,388
Jan-22,Sweden,1952,140,649,2741
Jan-22,Switzerland,268,15,388,671
Jan-22,Taiwan,8,,,8
Jan-22,Thailand,13,,,13
Jan-22,Turkey,48,,,48
Jan-22,Ukraine,,1,13,14
Jan-22,United Arabic Emirates,22,,,22
Jan-22,United States,107,17,1059,1183
Jan-22,Vietnam,44,,,44
Feb-22,Australia,,,224,224
Feb-22,Austria,,1,241,242
Feb-22,Bangladesh,3,,,3
Feb-22,Belarus,4,,,4
Feb-22,Belgium,,5,225,230
Feb-22,Brazil,11,,,11
Feb-22,Canada,,1,442,443
Feb-22,China,242,141,396,779
Feb-22,Croatia,1,,67,68
Feb-22,Czech Republic,67,14,337,418
Feb-22,Denmark,,1,109,110
Feb-22,Finland,,5,147,152
Feb-22,France,1,17,394,412
Feb-22,Germany,96,16,2273,2385
Feb-22,Great Britain,1,25,589,615
Feb-22,Hungary,,,171,171
Feb-22,India,53,21,150,224
Feb-22,Indonesia,14,,,14
Feb-22,Ireland,,7,11,18
Feb-22,Italy,57,9,227,293
